"locationId","trade","startDate","endDate","durationDays","latestStatus"
"68b36de0b21b124f0d3682b3","Excavation","2020-10-01","2020-11-13","44","complete"
"68b36de0b21b124f0d3682b3","Batterboards","2021-03-01","2021-03-01","1","complete"
"68b36de0b21b124f0d3682b3","Vapor Barrier","2021-03-15","2021-03-15","1","complete"
"68b36de0b21b124f0d3682b3","Underground Utilities","2020-11-13","2021-03-01","109","complete"
"68b36de0b21b124f0d3682b3","Structural Steel","2021-06-01","2021-08-13","74","complete"
"68b36de0b21b124f0d3682b3","Roofing","2021-06-01","2021-09-01","93","complete"
"68b36de0b21b124f0d3682b3","Roof HVAC Units","2022-06-30","2022-06-30","1","complete"
"68b36de0b21b124f0d3682b3","Roof HVAC Piping","2022-06-30","2022-06-30","1","complete"
"68b36de0b21b124f0d3682b3","Tilt-Up Wall Panels","2021-06-15","2021-06-15","1","complete"
"68b36de0b21b124f0d3682b3","Structural Piles","2021-04-15","2021-05-14","30","complete"
"68b36de0b21b124f0d3682b3","Concrete Pour","2021-03-01","2021-03-01","1","complete"
"68b36de0b21b124f0d3682b3","Concrete Formwork","2021-03-01","2021-03-01","1","complete"
"68b36de0b21b124f0d3682b3","Concrete Rebar","2021-03-01","2021-03-01","1","complete"
"68b36de0b21b124f0d3682b3","Concrete Foundation Pour","2021-03-01","2021-03-01","1","complete"
"68b36de0b21b124f0d3682b3","Roofing Insulation","2021-09-01","2021-09-01","1","complete"
"68b36de0b21b124f0d3682b3","Roofing Membrane","2021-09-01","2021-09-01","1","complete"
"68b36d776244a70cf6b13b7c","Excavation","2020-10-01","2020-12-15","76","complete"
"68b36d776244a70cf6b13b7c","Batterboards","2021-02-22","2021-02-22","1","complete"
"68b36d776244a70cf6b13b7c","Vapor Barrier","2021-03-01","2021-03-15","15","complete"
"68b36d776244a70cf6b13b7c","Underground Utilities","2021-02-22","2021-03-15","22","complete"
"68b36d776244a70cf6b13b7c","Structural Steel","2021-06-01","2021-08-13","74","complete"
"68b36d776244a70cf6b13b7c","Roofing","2021-06-01","2021-08-13","74","complete"
"68b36d776244a70cf6b13b7c","Roof HVAC Units","2020-10-01","2022-06-30","638","not started"
"68b36d776244a70cf6b13b7c","Roof HVAC Piping","2020-10-01","2022-06-30","638","not started"
"68b36d776244a70cf6b13b7c","Tilt-Up Wall Panels","2021-05-14","2021-05-14","1","complete"
"68b36d776244a70cf6b13b7c","Structural Piles","2021-02-22","2021-03-15","22","complete"
"68b36d776244a70cf6b13b7c","Concrete Pour","2021-02-22","2021-03-15","22","complete"
"68b36d776244a70cf6b13b7c","Concrete Formwork","2021-02-22","2021-03-15","22","complete"
"68b36d776244a70cf6b13b7c","Concrete Rebar","2021-02-22","2021-03-15","22","complete"
"68b36d776244a70cf6b13b7c","Concrete Foundation Pour","2021-02-22","2021-03-15","22","complete"
"68b36d776244a70cf6b13b7c","Roofing Insulation","2021-09-01","2021-10-01","31","complete"
"68b36d776244a70cf6b13b7c","Roofing Membrane","2021-09-01","2021-10-01","31","complete"
"68b36d52dfb1531431942889","Excavation","2020-10-01","2020-10-15","15","complete"
"68b36d52dfb1531431942889","Batterboards","2021-02-22","2021-02-22","1","complete"
"68b36d52dfb1531431942889","Vapor Barrier","2021-03-01","2021-03-01","1","complete"
"68b36d52dfb1531431942889","Underground Utilities","2020-12-28","2021-02-22","57","complete"
"68b36d52dfb1531431942889","Structural Steel","2021-05-14","2021-05-14","1","complete"
"68b36d52dfb1531431942889","Roofing","2021-05-14","2021-09-15","125","complete"
"68b36d52dfb1531431942889","Roof HVAC Units","2022-06-30","2022-06-30","1","complete"
"68b36d52dfb1531431942889","Roof HVAC Piping","2022-06-30","2022-06-30","1","complete"
"68b36d52dfb1531431942889","Tilt-Up Wall Panels","2021-05-14","2021-05-14","1","complete"
"68b36d52dfb1531431942889","Structural Piles","2021-02-22","2021-02-22","1","complete"
"68b36d52dfb1531431942889","Concrete Pour","2021-02-22","2021-02-22","1","complete"
"68b36d52dfb1531431942889","Concrete Formwork","2021-02-22","2021-02-22","1","complete"
"68b36d52dfb1531431942889","Concrete Rebar","2021-02-22","2021-02-22","1","complete"
"68b36d52dfb1531431942889","Concrete Foundation Pour","2021-02-22","2021-02-22","1","complete"
"68b36d52dfb1531431942889","Roofing Insulation","2021-09-15","2021-11-15","62","complete"
"68b36d52dfb1531431942889","Roofing Membrane","2021-09-01","2021-11-15","76","complete"
"68b36a2262f5c1297c0913d3","Excavation","2020-10-01","2020-11-13","44","complete"
"68b36a2262f5c1297c0913d3","Batterboards","2021-02-22","2021-02-22","1","complete"
"68b36a2262f5c1297c0913d3","Vapor Barrier","2021-02-22","2021-02-22","1","complete"
"68b36a2262f5c1297c0913d3","Underground Utilities","2021-02-22","2021-02-22","1","complete"
"68b36a2262f5c1297c0913d3","Structural Steel","2021-06-15","2021-07-15","31","complete"
"68b36a2262f5c1297c0913d3","Roofing","2021-07-15","2021-07-30","16","complete"
"68b36a2262f5c1297c0913d3","Roof HVAC Units","2020-10-01","2022-06-30","638","not started"
"68b36a2262f5c1297c0913d3","Roof HVAC Piping","2020-10-01","2022-06-30","638","not started"
"68b36a2262f5c1297c0913d3","Tilt-Up Wall Panels","2021-07-15","2021-07-15","1","complete"
"68b36a2262f5c1297c0913d3","Structural Piles","2021-03-15","2021-03-15","1","complete"
"68b36a2262f5c1297c0913d3","Concrete Pour","2021-02-22","2021-03-15","22","complete"
"68b36a2262f5c1297c0913d3","Concrete Formwork","2021-02-22","2021-03-15","22","complete"
"68b36a2262f5c1297c0913d3","Concrete Rebar","2021-02-22","2021-03-15","22","complete"
"68b36a2262f5c1297c0913d3","Concrete Foundation Pour","2021-02-22","2021-03-15","22","complete"
"68b36a2262f5c1297c0913d3","Roofing Insulation","2021-09-01","2021-09-01","1","complete"
"68b36a2262f5c1297c0913d3","Roofing Membrane","2021-09-01","2021-09-15","15","complete"
