"date","locationId","trade","status"
"2020-10-01","68b36de0b21b124f0d3682b3","Excavation","in progress"
"2020-10-01","68b36de0b21b124f0d3682b3","Batterboards","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Vapor Barrier","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Underground Utilities","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Structural Steel","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Roofing","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Roof HVAC Units","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Roof HVAC Piping","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Tilt-Up Wall Panels","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Structural Piles","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Concrete Pour","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Concrete Formwork","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Concrete Rebar","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Concrete Foundation Pour","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Roofing Insulation","not started"
"2020-10-01","68b36de0b21b124f0d3682b3","Roofing Membrane","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Excavation","in progress"
"2020-10-01","68b36d776244a70cf6b13b7c","Batterboards","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Vapor Barrier","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Underground Utilities","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Structural Steel","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Roofing","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Roof HVAC Units","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Roof HVAC Piping","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Tilt-Up Wall Panels","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Structural Piles","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Concrete Pour","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Concrete Formwork","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Concrete Rebar","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Concrete Foundation Pour","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Roofing Insulation","not started"
"2020-10-01","68b36d776244a70cf6b13b7c","Roofing Membrane","not started"
"2020-10-01","68b36d52dfb1531431942889","Excavation","in progress"
"2020-10-01","68b36d52dfb1531431942889","Batterboards","not started"
"2020-10-01","68b36d52dfb1531431942889","Vapor Barrier","not started"
"2020-10-01","68b36d52dfb1531431942889","Underground Utilities","not started"
"2020-10-01","68b36d52dfb1531431942889","Structural Steel","not started"
"2020-10-01","68b36d52dfb1531431942889","Roofing","not started"
"2020-10-01","68b36d52dfb1531431942889","Roof HVAC Units","not started"
"2020-10-01","68b36d52dfb1531431942889","Roof HVAC Piping","not started"
"2020-10-01","68b36d52dfb1531431942889","Tilt-Up Wall Panels","not started"
"2020-10-01","68b36d52dfb1531431942889","Structural Piles","not started"
"2020-10-01","68b36d52dfb1531431942889","Concrete Pour","not started"
"2020-10-01","68b36d52dfb1531431942889","Concrete Formwork","not started"
"2020-10-01","68b36d52dfb1531431942889","Concrete Rebar","not started"
"2020-10-01","68b36d52dfb1531431942889","Concrete Foundation Pour","not started"
"2020-10-01","68b36d52dfb1531431942889","Roofing Insulation","not started"
"2020-10-01","68b36d52dfb1531431942889","Roofing Membrane","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Excavation","in progress"
"2020-10-01","68b36a2262f5c1297c0913d3","Batterboards","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Vapor Barrier","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Underground Utilities","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Structural Steel","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Roofing","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Roof HVAC Units","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Roof HVAC Piping","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Tilt-Up Wall Panels","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Structural Piles","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Concrete Pour","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Concrete Formwork","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Concrete Rebar","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Concrete Foundation Pour","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Roofing Insulation","not started"
"2020-10-01","68b36a2262f5c1297c0913d3","Roofing Membrane","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Excavation","in progress"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Batterboards","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Vapor Barrier","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Underground Utilities","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Structural Steel","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Roofing","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Roof HVAC Units","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Roof HVAC Piping","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Tilt-Up Wall Panels","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Structural Piles","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Concrete Pour","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Concrete Formwork","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Concrete Rebar","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Concrete Foundation Pour","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Roofing Insulation","not started"
"2020-10-01","68881ef9cbdd5a6f740a1e55","Roofing Membrane","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Excavation","in progress"
"2020-10-01","68881eaf5ecfb6cf31709226","Batterboards","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Vapor Barrier","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Underground Utilities","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Structural Steel","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Roofing","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Roof HVAC Units","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Roof HVAC Piping","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Tilt-Up Wall Panels","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Structural Piles","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Concrete Pour","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Concrete Formwork","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Concrete Rebar","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Concrete Foundation Pour","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Roofing Insulation","not started"
"2020-10-01","68881eaf5ecfb6cf31709226","Roofing Membrane","not started"
"2020-10-01","68881c0d9c359a7c21399336","Excavation","in progress"
"2020-10-01","68881c0d9c359a7c21399336","Batterboards","not started"
