"Note: This duplicate of the ""All Trades"" sheet is being used by Benjamin Gallishaw to validate having VLMs assess the current progress of a new project in order to determine the stage of construction. Please reach out with any questions!",,,,,,,,,,,,
ID,Category,Trade,%Accuracy,Status,Type,Column 7,Applicable Project Type(s),Stage(s) of Construction,"""Start Date""","""End Date""",Description,Column 2
69,Specialty Equipment / Misc.,Tank Installation,100,GA,Interior,Inspection AI,Energy / Power / Water Treatment,1 - Site Preparation,01/01/2026,,"Tank installation is observed by whether no steel shell courses are visible (Not Started), partial or full shell sections are being erected with scaffolding or cranes present (In Progress), or the full cylindrical tank with roof, welds, and external features is complete and coated (Completed).",
47,Equipment Placement,Mechanical Yard - Equipment Placement,100,GA,Exterior,Progress AI,Data Center,5 - Finishes,,,"Mechanical yard equipment placement is observed by whether no equipment or racks are visible (Not Started), partial installation of cooling units, cable trays, or conduit with some fan blades/cables missing (In Progress), or all units, fans, cables, piping, and wiring are fully installed and secured (Completed).",
99,Equipment Placement,Generator Placement,97,GA,Interior,Progress AI,Data Center,5 - Finishes,,,"Generator placement is observed by whether no units are on the pads (Not Started), some generators are staged or partially set in place (In Progress), or all units are fully installed and seated on pads with placement complete (Completed).",
93,Concrete,Concrete Foundation Pour,96,GA,Exterior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",2 - Superstructure,,,"Concrete foundation pour is observed by whether only bare earth, rebar, or formwork is visible with no concrete (Not Started), partial pour with some rebar still exposed (In Progress), or finished uniform concrete with forms removed and joints cut (Completed).",
33,Sitework / Earthwork,Vapor Barrier,96,GA,Interior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",1 - Site Preparation,,,"Vapor barrier installation is observed by whether exposed ground is visible with no barrier in place (Not Started), some vapor barrier is installed but not fully secured or covered (In Progress), or the vapor barrier is fully installed within formwork and covered by rebar grids or concrete (Completed).",
21,Fire Protection,Overhead Fire Protection,96,GA,Interior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",3 - Interior Fit-Out,,,"Overhead fire protection is observed by whether the ceiling space is clear with no sprinkler pipes, heads, brackets, or hangers visible (Not Started), overhead piping and fittings are partially installed or suspended with brackets (In Progress), or all piping, sprinkler heads, and supports are fully installed and evenly distributed with the ceiling finished (Completed).",
90,Electrical,Overhead Electrical Rough In,96,GA,Interior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",3 - Interior Fit-Out,,,"Overhead electrical rough-in is observed by whether no conduit, wiring, or junction boxes are visible (Not Started), some conduit, boxes, or wiring are installed but not fully connected (In Progress), or all electrical components are fully installed with no exposed wiring or open fixture holes (Completed).",
30,Sitework / Earthwork,Excavation,95,GA,Exterior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",1 - Site Preparation,,,"Excavation is observed by whether the ground is completely undisturbed with natural vegetation or existing surface intact (Not Started), disturbed with visible excavation, grading, or soil piles and active digging areas (In Progress), or finished to design grade with no active digging or machinery and layout markers, foundations, or slabs in place (Completed).",
94,Mechanical (HVAC / Plumbing),Overhead Plumbing,95,GA,Interior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",3 - Interior Fit-Out,,,"Overhead plumbing is observed by whether the ceiling is clear with no pipes or fittings (Not Started), visible pipes or partial systems are installed but incomplete (In Progress), or all piping and fixtures are fully installed, connected, and finished (Completed).",
31,Sitework / Earthwork,Batterboards,91,Beta,Exterior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other","1 - Site Preparation, 2 - Superstructure",,,"Batterboard installation is observed by whether the site shows bare ground with no materials (Not Started), workers or machinery actively placing long sticks (In Progress), or completed formwork with batterboards, rebar, vapor barriers, or utility pipes in place (Completed).",
88,Concrete,Concrete Rebar,91,Beta,Exterior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other","2 - Superstructure, 1 - Site Preparation",,,"Concrete rebar installation is observed by whether the site shows no rebar or reinforcement with open ground (Not Started), partially placed rebar with gaps still visible (In Progress), or fully placed and tied rebar ready for formwork (Completed).",
63,Concrete,Concrete Pour,91,Beta,Exterior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",2 - Superstructure,,,"Concrete pour is observed by whether only bare ground or rebar preparation is visible with no concrete (Not Started), partial concrete placement with some rebar still showing (In Progress), or all areas poured with no visible rebar or formwork (Completed).",
20,Electrical,In Wall Electrical,91,Beta,Interior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",3 - Interior Fit-Out,,,"In wall electrical is observed by whether wall cavities are empty with no conduit, outlet boxes, or wiring visible (Not Started), partial installation with some conduit, outlet boxes, or wiring incomplete and studs still visible (In Progress), or all conduits, outlet boxes, and wiring fully installed with drywall or insulation enclosing the walls and no components missing (Completed)",
85,Finishes,Wall Painting,91,Beta,Interior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",5 - Finishes,,,"Wall painting is observed by whether no primer or paint has been applied (Not Started), primer or partial coats are applied with unfinished areas (In Progress), or all designated wall surfaces have a final coat of paint (Completed).",
1,Fire Protection,Wall Framing,90,Beta,Interior,Progress AI,"Commercial / Mixed Use, Data Center, Energy / Power / Water Treatment, Healthcare, Hospitality, Infrastructure / Heavy Civil, Institutional / Education, Manufacturing / Industrial, Multi Family / Residential, Other",3 - Interior Fit-Out,,,"Wall framing installation is observed by whether no top/bottom tracks or vertical studs are installed and the area is fully open (Not Started), partial studs are in place with some walls open or incomplete (In Progress), or full framing is installed with all vertical studs in place (Completed).",
