location,section,level / floor,trade,state,start_date,complete_date,capture_date
Zone 1-USS 2,,,Backfill,in progress,,,2025/05/23
Zone 1-USS 2,,,Concrete Formwork,complete,,,2025/05/23
Zone 1-USS 2,,,Concrete Pour,in progress,,,2025/05/23
Zone 1-USS 2,,,Concrete Rebar,complete,,,2025/05/23
Zone 2-Conveyance 2,,,Backfill,not started,,,2025/05/23
Zone 2-Conveyance 2,,,Concrete Formwork,not started,,,2025/05/23
Zone 2-Conveyance 2,,,Concrete Pour,not started,,,2025/05/23
Zone 2-Conveyance 2,,,Concrete Rebar,not started,,,2025/05/23
Zone 2-Conveyance 2,,,Conveyance,not started,,,2025/05/23
Zone 2-Conveyance 3,,,Backfill,not started,,,2025/05/23
Zone 2-Conveyance 3,,,Concrete Formwork,not started,,,2025/05/23
Zone 2-Conveyance 3,,,Concrete Pour,not started,,,2025/05/23
Zone 2-Conveyance 3,,,Concrete Rebar,not started,,,2025/05/23
Zone 2-Conveyance 3,,,Conveyance,not started,,,2025/05/23
Zone 1-Conveyance 3,,,Backfill,not started,,,2025/05/23
Zone 1-Conveyance 3,,,Concrete Formwork,not started,,,2025/05/23
Zone 1-Conveyance 3,,,Concrete Pour,not started,,,2025/05/23
Zone 1-Conveyance 3,,,Concrete Rebar,not started,,,2025/05/23
Zone 1-Conveyance 3,,,Conveyance,not started,,,2025/05/23
Zone 1-Conveyance 2,,,Backfill,not started,,,2025/05/23
Zone 1-Conveyance 2,,,Concrete Formwork,not started,,,2025/05/23
Zone 1-Conveyance 2,,,Concrete Pour,not started,,,2025/05/23
Zone 1-Conveyance 2,,,Concrete Rebar,not started,,,2025/05/23
Zone 1-Conveyance 2,,,Conveyance,not started,,,2025/05/23
DWTR-T2,,,Backfill,not started,,,2025/05/23
DWTR-T2,,,Concrete Formwork,not started,,,2025/05/23
DWTR-T2,,,Concrete Pour,not started,,,2025/05/23
DWTR-T2,,,Concrete Rebar,not started,,,2025/05/23
DWTR-T2,,,DWTR Installation,not started,,,2025/05/23
DWTR-T1,,,Backfill,not started,,,2025/05/23
DWTR-T1,,,Concrete Formwork,not started,,,2025/05/23
DWTR-T1,,,Concrete Pour,not started,,,2025/05/23
DWTR-T1,,,Concrete Rebar,not started,,,2025/05/23
DWTR-T1,,,DWTR Installation,not started,,,2025/05/23
DCH2-6,,,Roofing Flashing,not started,,,2025/05/23
DCH2-6,,,Roofing Insulation,complete,,,2025/05/23
DCH2-6,,,Roofing Membrane,complete,,,2025/05/23
DCH2-6,,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-6,,,Structural Steel,complete,,,2025/05/23
DCH2-5,,,Roofing Flashing,not started,,,2025/05/23
DCH2-5,,,Roofing Insulation,complete,,,2025/05/23
DCH2-5,,,Roofing Membrane,complete,,,2025/05/23
DCH2-5,,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-5,,,Structural Steel,complete,,,2025/05/23
DCH2-4,,,Roofing Flashing,not started,,,2025/05/23
DCH2-4,,,Roofing Insulation,complete,,,2025/05/23
DCH2-4,,,Roofing Membrane,in progress,,,2025/05/23
DCH2-4,,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-4,,,Structural Steel,complete,,,2025/05/23
DCH2-3,,,Roofing Flashing,not started,,,2025/05/23
DCH2-3,,,Roofing Insulation,complete,,,2025/05/23
DCH2-3,,,Roofing Membrane,in progress,,,2025/05/23
DCH2-3,,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-3,,,Structural Steel,complete,,,2025/05/23
DCH2-2,,,Roofing Flashing,not started,,,2025/05/23
DCH2-2,,,Roofing Insulation,complete,,,2025/05/23
DCH2-2,,,Roofing Membrane,in progress,,,2025/05/23
DCH2-2,,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-2,,,Structural Steel,complete,,,2025/05/23
DCH2-1,,,Roofing Flashing,not started,,,2025/05/23
DCH2-1,,,Roofing Insulation,complete,,,2025/05/23
DCH2-1,,,Roofing Membrane,complete,,,2025/05/23
DCH2-1,,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-1,,,Structural Steel,complete,,,2025/05/23
DCH1-8,,,Roofing Flashing,not started,,,2025/05/23
DCH1-8,,,Roofing Insulation,complete,,,2025/05/23
DCH1-8,,,Roofing Membrane,complete,,,2025/05/23
DCH1-8,,,Roofing Metal Deck,complete,,,2025/05/23
DCH1-8,,,Structural Steel,complete,,,2025/05/23
DCH1-7,,,Roofing Flashing,not started,,,2025/05/23
DCH1-7,,,Roofing Insulation,complete,,,2025/05/23
