location,section,level / floor,trade,state,start_date,complete_date,capture_date,building
UNISEX RESTROOM 169,A,1,Wall Drywall,in-progress,,,2025/04/11,UNISEX RESTROOM 169
UNISEX RESTROOM 169,A,1,In Wall Insulation,in-progress,,,2025/04/11,UNISEX RESTROOM 169
UNISEX RESTROOM 169,A,1,Overhead Plumbing,in-progress,,,2025/04/11,UNISEX RESTROOM 169
UNISEX RESTROOM 169,A,1,Wall Drywall Finish,in-progress,,,2025/04/11,UNISEX RESTROOM 169
UNISEX RESTROOM 169,A,1,Overhead Duct Insulation,in-progress,,,2025/04/11,UNISEX RESTROOM 169
UNISEX RESTROOM 169,A,1,Overhead Duct Rough In,in-progress,,,2025/04/11,UNISEX RESTROOM 169
UNISEX RESTROOM 169,A,1,Wall Prime Paint,in-progress,,,2025/04/11,UNISEX RESTROOM 169
CORRIDOR 181,D,1,Wall Drywall,in-progress,,,2025/04/11,CORRIDOR 181
CORRIDOR 181,D,1,In Wall Insulation,in-progress,,,2025/04/11,CORRIDOR 181
CORRIDOR 181,D,1,Overhead Plumbing,in-progress,,,2025/04/11,CORRIDOR 181
CORRIDOR 181,D,1,Wall Drywall Finish,in-progress,,,2025/04/11,CORRIDOR 181
CORRIDOR 181,D,1,Overhead Duct Insulation,in-progress,,,2025/04/11,CORRIDOR 181
CORRIDOR 181,D,1,Overhead Duct Rough In,in-progress,,,2025/04/11,CORRIDOR 181
CORRIDOR 181,D,1,Wall Prime Paint,in-progress,,,2025/04/11,CORRIDOR 181
RESTROOM 183,C,1,Wall Drywall,in-progress,,,2025/04/11,RESTROOM 183
RESTROOM 183,C,1,In Wall Insulation,in-progress,,,2025/04/11,RESTROOM 183
RESTROOM 183,C,1,Overhead Plumbing,in-progress,,,2025/04/11,RESTROOM 183
RESTROOM 183,C,1,Wall Drywall Finish,in-progress,,,2025/04/11,RESTROOM 183
RESTROOM 183,C,1,Overhead Duct Insulation,in-progress,,,2025/04/11,RESTROOM 183
RESTROOM 183,C,1,Overhead Duct Rough In,in-progress,,,2025/04/11,RESTROOM 183
RESTROOM 183,C,1,Wall Prime Paint,in-progress,,,2025/04/11,RESTROOM 183
CORRIDOR 108,B,1,Wall Drywall,complete,,2025/04/11,2025/04/11,CORRIDOR 108
CORRIDOR 108,B,1,In Wall Insulation,complete,,2025/04/11,2025/04/11,CORRIDOR 108
