"Location","Activity ID","Activity Name","Start Date","Finish Date","Duration"
"MYD","PRO-024031","MYD2-Lead MCP-11","2025-08-14","2026-01-05","776"
"MYD","PRO-019352","MYD1-Deliver-Zilla RMU/USSs-","2025-08-14","2025-10-09","312"
"SSS","PRO-029358","Deliver-Critical EY02 RMU/USSs","2025-08-14","2025-08-15","8"
"Conveyance","PCN-1230","Offsite Pre-Fabrication Labor (S10)-Zilla Conveyance","2025-08-14","2025-08-20","32"
"Conveyance","PCN-1245","Offsite Pre-Fabrication Labor (S14)-Conveyance","2025-08-14","2025-08-25","56"
"GPS","PCN-1235","Offsite Pre-Fabrication Labor (S17)-SSS/GPS/USS","2025-08-14","2025-08-25","56"
"Conveyance","PCN-1240","Offsite Pre-Fabrication Labor (S18)-USS Secondary Conveyance","2025-08-14","2025-09-02","96"
"MYD","PRO-019353","MYD1-Deliver-Critical LV TX/USSs-** OFE Tracker 8/11/2025**","2025-08-14","2025-08-15","8"
"EYD","PRO-029360","EYD2-Deliver-Critical LV SWGR/USSs","2025-08-14","2025-08-15","8"
"EYD","CON-3265","EYD1-GEN SOG Bulletin 16 (1-4)","2025-08-14","2025-08-14","120"
"EYD","CON-3720","EYD1-GEN SOG Bulletin 16 (5-9)","2025-08-14","2025-08-20","32"
"MYD","CON-7800","MYD2-FRP USS Pads Group 22","2025-08-14","2025-09-02","96"
"DCH","CON-2915","EYD2-DCH2-Ext.Vertical Joint Caulking-North","2025-08-14","2025-08-14","40"
"DCH","CON-8235","DCH2-Install/Terminate Security Devices/IDFs,Pull Cable/Terminate Panel","2025-08-14","2025-09-19","200"
"MYD","PCN-1210","MYD-Fire Pump House (FPH)","2025-08-14","2025-11-07","480"
"EYD","CON-6155","EYD1-MV Trench Seq.10.6 USS","2025-08-14","2025-08-14","64"
"MYD","CON-7190","MYD1-MV Trench Seq.4.5-USS","2025-08-14","2025-09-08","128"
"EYD","CX-10062","EYD1-BDC/DCP/DCOP Energization","2025-08-14","2025-08-18","16"
"MYD","CON-113765","MYD2-FRP S25 Foundations","2025-08-14","2025-08-21","56"
"MYD","CON-114065","MYD2-PCW UG Piping-MCP-07","2025-08-14","2025-08-20","32"
"MYD","CON-114495","MYD2-PCW UG Piping-MCP-11","2025-08-14","2025-08-19","24"
"DCH","348538781","DCH1-East Wall-S27 Modules","2025-08-14","2025-08-21","40"
"DCH","404448538","DCH2-West Wall-Paint Wall","2025-08-14","2025-08-20","32"
"DCH","938481068","DCH2-Overhead Fire Suppression-Area L","2025-08-14","2025-08-22","48"
"MYD","PRO-306027","MYD2-Lead MCP-09","2025-08-14","2025-12-23","720"
"MYD","PRO-306032","MYD2-Lead MCP-07","2025-08-14","2025-12-16","680"
"MYD","PCN-0095","???-MYD-Domestic Booster Water Pump House (Redundant of PCN-0090)","2025-08-14","2025-10-10","320"
"EYD","PCN-0105","EYD-Storm Shelter","2025-08-14","2025-10-10","320"
"MYD","PCN-0110","MYD-Storm Shelter","2025-08-14","2025-09-26","240"
"MYD","PCN-0115","MYD-Exterior Bathroom Bldg","2025-08-14","2025-10-10","320"
"MYD","PCN-0120","MYD-Chemical Treatment Building (CTB)","2025-08-14","2025-10-10","320"
"MYD","PCN-0125","MYD-Make Up Pumphouse (MUP)","2025-08-14","2025-10-10","320"
"EYD","CN-F-Z01.EYD.S14.LB.0022","Place-Anchor & Ground EY05-Load Bank in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.XFMR-E.023","Place,Anchor & Ground EY05-XFMR-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.XFMR-F.024","Place,Anchor & Ground EY05-XFMR-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.025","Ground EY05-SWGR-RMU-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.026","Ground EY05-XFMR-USS-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-E.027","Ground EY05-SWGR-USS-MDA-E in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-F.028","Ground EY05-SWGR-RMU-MDA-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-F.029","Ground EY05-XFMR-USS-MDA-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.MDA-F.030","Ground EY05-SWGR-USS-MDA-F in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-1.031","Ground EY05-SWGR-RMU-1 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-1.032","Ground EY05-XFMR-USS-1 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-1.033","Ground EY05-SWGR-USS-1 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-2.034","Ground EY05-SWGR-RMU-2 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-2.035","Ground EY05-XFMR-USS-2 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-2.036","Ground EY05-SWGR-USS-2 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-3.037","Ground EY05-SWGR-RMU-3 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-3.038","Ground EY05-XFMR-USS-3 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-3.039","Ground EY05-SWGR-USS-3 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-4.040","Ground EY05-SWGR-RMU-4 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-4.041","Ground EY05-XFMR-USS-4 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-4.042","Ground EY05-SWGR-USS-4 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-5.043","Ground EY05-SWGR-RMU-5 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-5.044","Ground EY05-XFMR-USS-5 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-5.045","Ground EY05-SWGR-USS-5 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-6.046","Ground EY05-SWGR-RMU-6 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-6.047","Ground EY05-XFMR-USS-6 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-6.048","Ground EY05-SWGR-USS-6 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-7.049","Ground EY05-SWGR-RMU-7 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-7.050","Ground EY05-XFMR-USS-7 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-7.051","Ground EY05-SWGR-USS-7 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-8.052","Ground EY05-SWGR-RMU-8 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-8.053","Ground EY05-XFMR-USS-8 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-8.054","Ground EY05-SWGR-USS-8 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-9.055","Ground EY05-SWGR-RMU-9 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-9.056","Ground EY05-XFMR-USS-9 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-9.057","Ground EY05-SWGR-USS-9 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-10.058","Ground EY05-SWGR-RMU-10 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-10.059","Ground EY05-XFMR-USS-10 in Zone 1 EYD","2025-08-14","2025-08-15","8"
"EYD","CN-F-Z01.EYD.S14.USS-10.060","Ground EY05-SWGR-USS-10 in Zone 1 EYD","2025-08-14","2025-08-15","8"
