location,section,level / floor,trade,state,start_date,complete_date,capture_date
Zone 1-USS 2,Zone 1,,Backfill,in progress,,2025/05/30,2025/05/23
Zone 1-USS 2,Zone 1,,Concrete Formwork,complete,,,2025/05/23
Zone 1-USS 2,Zone 1,,Concrete Pour,in progress,,2025/05/30,2025/05/23
Zone 1-USS 2,Zone 1,,Concrete Rebar,complete,,,2025/05/23
Zone 2-Conveyance 2,Zone 2,,Backfill,not started,,,2025/05/23
Zone 2-Conveyance 2,Zone 2,,Concrete Formwork,not started,,,2025/05/23
Zone 2-Conveyance 2,Zone 2,,Concrete Pour,not started,,,2025/05/23
Zone 2-Conveyance 2,Zone 2,,Concrete Rebar,not started,,,2025/05/23
Zone 2-Conveyance 2,Zone 2,,Conveyance,not started,2025/06/27,,2025/05/23
Zone 2-Conveyance 3,Zone 2,,Backfill,not started,,,2025/05/23
Zone 2-Conveyance 3,Zone 2,,Concrete Formwork,not started,2025/07/14,2025/08/12,2025/05/23
Zone 2-Conveyance 3,Zone 2,,Concrete Pour,not started,,,2025/05/23
Zone 2-Conveyance 3,Zone 2,,Concrete Rebar,not started,,,2025/05/23
Zone 2-Conveyance 3,Zone 2,,Conveyance,not started,2025/06/27,,2025/05/23
Zone 1-Conveyance 3,Zone 1,,Backfill,not started,,,2025/05/23
Zone 1-Conveyance 3,Zone 1,,Concrete Formwork,not started,,,2025/05/23
Zone 1-Conveyance 3,Zone 1,,Concrete Pour,not started,,,2025/05/23
Zone 1-Conveyance 3,Zone 1,,Concrete Rebar,not started,,,2025/05/23
Zone 1-Conveyance 3,Zone 1,,Conveyance,not started,2025/06/27,,2025/05/23
Zone 1-Conveyance 2,Zone 1,,Backfill,not started,2025/08/07,2025/08/12,2025/05/23
Zone 1-Conveyance 2,Zone 1,,Concrete Formwork,not started,2025/08/07,2025/08/12,2025/05/23
Zone 1-Conveyance 2,Zone 1,,Concrete Pour,not started,2025/08/12,,2025/05/23
Zone 1-Conveyance 2,Zone 1,,Concrete Rebar,not started,2025/08/12,2025/08/13,2025/05/23
Zone 1-Conveyance 2,Zone 1,,Conveyance,not started,2025/06/27,,2025/05/23
DWTR-T2,DWTR,,Backfill,not started,,,2025/05/23
DWTR-T2,DWTR,,Concrete Formwork,not started,2025/08/01,2025/08/07,2025/05/23
DWTR-T2,DWTR,,Concrete Pour,not started,2025/08/07,,2025/05/23
DWTR-T2,DWTR,,Concrete Rebar,not started,,,2025/05/23
DWTR-T2,DWTR,,DWTR Installation,not started,2025/05/30,2025/08/01,2025/05/23
DWTR-T1,DWTR,,Backfill,not started,2025/06/27,2025/07/14,2025/05/23
DWTR-T1,DWTR,,Concrete Formwork,not started,2025/07/09,2025/07/19,2025/05/23
DWTR-T1,DWTR,,Concrete Pour,not started,2025/07/19,2025/08/01,2025/05/23
DWTR-T1,DWTR,,Concrete Rebar,not started,2025/07/22,2025/07/24,2025/05/23
DWTR-T1,DWTR,,DWTR Installation,not started,,,2025/05/23
DCH2-6,DCH2,,Roofing Flashing,not started,,,2025/05/23
DCH2-6,DCH2,,Roofing Insulation,complete,,,2025/05/23
DCH2-6,DCH2,,Roofing Membrane,complete,,,2025/05/23
DCH2-6,DCH2,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-6,DCH2,,Structural Steel,complete,,,2025/05/23
DCH2-5,DCH2,,Roofing Flashing,not started,,,2025/05/23
DCH2-5,DCH2,,Roofing Insulation,complete,,,2025/05/23
DCH2-5,DCH2,,Roofing Membrane,complete,,,2025/05/23
DCH2-5,DCH2,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-5,DCH2,,Structural Steel,complete,,,2025/05/23
DCH2-4,DCH2,,Roofing Flashing,not started,2025/07/01,2025/07/19,2025/05/23
DCH2-4,DCH2,,Roofing Insulation,complete,,,2025/05/23
DCH2-4,DCH2,,Roofing Membrane,in progress,,2025/05/30,2025/05/23
DCH2-4,DCH2,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-4,DCH2,,Structural Steel,complete,,,2025/05/23
DCH2-3,DCH2,,Roofing Flashing,not started,2025/06/27,2025/07/19,2025/05/23
DCH2-3,DCH2,,Roofing Insulation,complete,,,2025/05/23
DCH2-3,DCH2,,Roofing Membrane,in progress,,,2025/05/23
DCH2-3,DCH2,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-3,DCH2,,Structural Steel,complete,,,2025/05/23
DCH2-2,DCH2,,Roofing Flashing,not started,2025/07/01,2025/07/09,2025/05/23
DCH2-2,DCH2,,Roofing Insulation,complete,,,2025/05/23
DCH2-2,DCH2,,Roofing Membrane,in progress,,2025/05/30,2025/05/23
DCH2-2,DCH2,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-2,DCH2,,Structural Steel,complete,,,2025/05/23
DCH2-1,DCH2,,Roofing Flashing,not started,2025/07/09,2025/07/14,2025/05/23
DCH2-1,DCH2,,Roofing Insulation,complete,,,2025/05/23
DCH2-1,DCH2,,Roofing Membrane,complete,,,2025/05/23
DCH2-1,DCH2,,Roofing Metal Deck,complete,,,2025/05/23
DCH2-1,DCH2,,Structural Steel,complete,,,2025/05/23
DCH1-8,DCH1,,Roofing Flashing,not started,,,2025/05/23
DCH1-8,DCH1,,Roofing Insulation,complete,,,2025/05/23
DCH1-8,DCH1,,Roofing Membrane,complete,,,2025/05/23
DCH1-8,DCH1,,Roofing Metal Deck,complete,,,2025/05/23
DCH1-8,DCH1,,Structural Steel,complete,,,2025/05/23
DCH1-7,DCH1,,Roofing Flashing,not started,,,2025/05/23
DCH1-7,DCH1,,Roofing Insulation,complete,,,2025/05/23
DCH1-7,DCH1,,Roofing Membrane,complete,,,2025/05/23
DCH1-7,DCH1,,Roofing Metal Deck,complete,,,2025/05/23
DCH1-7,DCH1,,Structural Steel,complete,,,2025/05/23
DCH1-6,DCH1,,Roofing Flashing,not started,,,2025/05/23
DCH1-6,DCH1,,Roofing Insulation,complete,,,2025/05/23
DCH1-6,DCH1,,Roofing Membrane,complete,,,2025/05/23
DCH1-6,DCH1,,Roofing Metal Deck,complete,,,2025/05/23
DCH1-6,DCH1,,Structural Steel,complete,,,2025/05/23
DCH1-5,DCH1,,Roofing Flashing,not started,,,2025/05/23
DCH1-5,DCH1,,Roofing Insulation,complete,,,2025/05/23
DCH1-5,DCH1,,Roofing Membrane,complete,,,2025/05/23
DCH1-5,DCH1,,Roofing Metal Deck,complete,,,2025/05/23
DCH1-5,DCH1,,Structural Steel,complete,,,2025/05/23
