location,section,level / floor,trade,state,start_date,complete_date,capture_date
"Zone 1, Location 1",Zone 1,,Backfill,in progress,,,2023/07/23
"Zone 1, Location 1",Zone 1,,Concrete Formwork,complete,,,2023/07/23
"Zone 1, Location 1",Zone 1,,Concrete Pour,in progress,,,2023/07/23
"Zone 1, Location 1",Zone 1,,Concrete Rebar,complete,,,2023/07/23
"Zone 2, Location 1",Zone 2,,Backfill,not started,,,2023/07/23
"Zone 2, Location 1",Zone 2,,Concrete Formwork,not started,,,2023/07/23
"Zone 2, Location 1",Zone 2,,Concrete Pour,not started,,,2023/07/23
"Zone 2, Location 1",Zone 2,,Concrete Rebar,not started,,,2023/07/23
"Zone 2, Location 1",Zone 2,,Conveyance,not started,,,2023/07/23
"Zone 2, Location 2",Zone 2,,Backfill,not started,,,2023/07/23
"Zone 2, Location 2",Zone 2,,Concrete Formwork,not started,,,2023/07/23
"Zone 2, Location 2",Zone 2,,Concrete Pour,not started,,,2023/07/23
"Zone 2, Location 2",Zone 2,,Concrete Rebar,not started,,,2023/07/23
"Zone 2, Location 2",Zone 2,,Conveyance,not started,,,2023/07/23
"Zone 1, Location 2",Zone 1,,Backfill,not started,,,2023/07/23
"Zone 1, Location 2",Zone 1,,Concrete Formwork,not started,,,2023/07/23
"Zone 1, Location 2",Zone 1,,Concrete Pour,not started,,,2023/07/23
"Zone 1, Location 2",Zone 1,,Concrete Rebar,not started,,,2023/07/23
"Zone 1, Location 2",Zone 1,,Conveyance,not started,,,2023/07/23
"Zone 1, Location 3",Zone 1,,Backfill,not started,,,2023/07/23
"Zone 1, Location 3",Zone 1,,Concrete Formwork,not started,,,2023/07/23
"Zone 1, Location 3",Zone 1,,Concrete Pour,not started,,,2023/07/23
"Zone 1, Location 3",Zone 1,,Concrete Rebar,not started,,,2023/07/23
"Zone 1, Location 3",Zone 1,,Conveyance,not started,,,2023/07/23
"DWTR, Location 1",DWTR,,Backfill,not started,,,2023/07/23
"DWTR, Location 1",DWTR,,Concrete Formwork,not started,,,2023/07/23
"DWTR, Location 1",DWTR,,Concrete Pour,not started,,,2023/07/23
"DWTR, Location 1",DWTR,,Concrete Rebar,not started,,,2023/07/23
"DWTR, Location 1",DWTR,,DWTR Installation,not started,,,2023/07/23
"DWTR, Location 2",DWTR,,Backfill,not started,,,2023/07/23
"DWTR, Location 2",DWTR,,Concrete Formwork,not started,,,2023/07/23
"DWTR, Location 2",DWTR,,Concrete Pour,not started,,,2023/07/23
"DWTR, Location 2",DWTR,,Concrete Rebar,not started,,,2023/07/23
"DWTR, Location 2",DWTR,,DWTR Installation,not started,,,2023/07/23
"DCH2, Location 1",DCH2,,Roofing Flashing,not started,,,2023/07/23
"DCH2, Location 1",DCH2,,Roofing Insulation,complete,,,2023/07/23
"DCH2, Location 1",DCH2,,Roofing Membrane,complete,,,2023/07/23
"DCH2, Location 1",DCH2,,Roofing Metal Deck,complete,,,2023/07/23
"DCH2, Location 1",DCH2,,Structural Steel,complete,,,2023/07/23
"DCH2, Location 2",DCH2,,Roofing Flashing,not started,,,2023/07/23
"DCH2, Location 2",DCH2,,Roofing Insulation,complete,,,2023/07/23
"DCH2, Location 2",DCH2,,Roofing Membrane,complete,,,2023/07/23
"DCH2, Location 2",DCH2,,Roofing Metal Deck,complete,,,2023/07/23
"DCH2, Location 2",DCH2,,Structural Steel,complete,,,2023/07/23
"DCH2, Location 3",DCH2,,Roofing Flashing,not started,,,2023/07/23
"DCH2, Location 3",DCH2,,Roofing Insulation,complete,,,2023/07/23
"DCH2, Location 3",DCH2,,Roofing Membrane,in progress,,,2023/07/23
"DCH2, Location 3",DCH2,,Roofing Metal Deck,complete,,,2023/07/23
"DCH2, Location 3",DCH2,,Structural Steel,complete,,,2023/07/23
"DCH2, Location 4",DCH2,,Roofing Flashing,not started,,,2023/07/23
"DCH2, Location 4",DCH2,,Roofing Insulation,complete,,,2023/07/23
"DCH2, Location 4",DCH2,,Roofing Membrane,in progress,,,2023/07/23
"DCH2, Location 4",DCH2,,Roofing Metal Deck,complete,,,2023/07/23
"DCH2, Location 4",DCH2,,Structural Steel,complete,,,2023/07/23
"DCH2, Location 5",DCH2,,Roofing Flashing,not started,,,2023/07/23
"DCH2, Location 5",DCH2,,Roofing Insulation,complete,,,2023/07/23
