date,location,trade,status
2025/04/11,ADMIN ASSISTANT 125,In Wall Insulation,in progress
2025/04/11,ADMIN ASSISTANT 125,Overhead Duct Insulation,in progress
2025/04/11,ADMIN ASSISTANT 125,Overhead Duct Rough In,in progress
2025/04/11,ADMIN ASSISTANT 125,Overhead Plumbing,not started
2025/04/11,ADMIN ASSISTANT 125,Wall Drywall,in progress
2025/04/11,ADMIN ASSISTANT 125,Wall Drywall Finish,in progress
2025/04/11,ADMIN ASSISTANT 125,Wall Prime Paint,not started
2025/04/11,AV ROOM 103,In Wall Insulation,complete
2025/04/11,AV ROOM 103,Overhead Duct Insulation,in progress
2025/04/11,AV ROOM 103,Overhead Duct Rough In,in progress
2025/04/11,AV ROOM 103,Overhead Plumbing,not started
2025/04/11,AV ROOM 103,Wall Drywall,in progress
2025/04/11,AV ROOM 103,Wall Drywall Finish,in progress
2025/04/11,AV ROOM 103,Wall Prime Paint,not started
2025/04/11,BREAK ROOM CONFERENCE 182,In Wall Insulation,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Overhead Duct Insulation,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Overhead Duct Rough In,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Overhead Plumbing,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Wall Drywall,in progress
2025/04/11,BREAK ROOM CONFERENCE 182,Wall Drywall Finish,not started
2025/04/11,BREAK ROOM CONFERENCE 182,Wall Prime Paint,not started
2025/04/11,Background-159,In Wall Insulation,no data
2025/04/11,Background-159,Overhead Duct Insulation,no data
2025/04/11,Background-159,Overhead Duct Rough In,no data
2025/04/11,Background-159,Overhead Plumbing,no data
2025/04/11,Background-159,Wall Drywall,no data
2025/04/11,Background-159,Wall Drywall Finish,no data
2025/04/11,Background-159,Wall Prime Paint,no data
2025/04/11,CENTRAL BREAKROOM 145,In Wall Insulation,no data
2025/04/11,CENTRAL BREAKROOM 145,Overhead Duct Insulation,no data
2025/04/11,CENTRAL BREAKROOM 145,Overhead Duct Rough In,no data
2025/04/11,CENTRAL BREAKROOM 145,Overhead Plumbing,no data
2025/04/11,CENTRAL BREAKROOM 145,Wall Drywall,no data
2025/04/11,CENTRAL BREAKROOM 145,Wall Drywall Finish,no data
2025/04/11,CENTRAL BREAKROOM 145,Wall Prime Paint,no data
2025/04/11,COLD CASE 175,In Wall Insulation,complete
2025/04/11,COLD CASE 175,Overhead Duct Insulation,in progress
2025/04/11,COLD CASE 175,Overhead Duct Rough In,in progress
2025/04/11,COLD CASE 175,Overhead Plumbing,in progress
2025/04/11,COLD CASE 175,Wall Drywall,complete
2025/04/11,COLD CASE 175,Wall Drywall Finish,complete
