TaskID,TaskName,TradeJudgement,Reasoning
TK_NotStart,GG3700,Unassigned,No alias match
TK_NotStart,GG3600,Unassigned,No alias match
TK_NotStart,GG2800,Unassigned,No alias match
TK_NotStart,GG1200,Unassigned,No alias match
TK_Complete,GG0164,Unassigned,No alias match
TK_NotStart,GG0188,Unassigned,No alias match
TK_Complete,PCN-1080,Unassigned,No alias match
TK_NotStart,GG0195,Unassigned,No alias match
TK_NotStart,GG0220,Unassigned,No alias match
TK_Complete,PRO-011490,Unassigned,No alias match
TK_Complete,PRO-011470,Unassigned,No alias match
TK_NotStart,GG0140,Unassigned,No alias match
TK_Complete,GG0162,Unassigned,No alias match
TK_NotStart,GG3800,Unassigned,No alias match
TK_NotStart,GG3905,Unassigned,No alias match
TK_Complete,CON-1815,Unassigned,No alias match
TK_Complete,CON-1485,Unassigned,No alias match
TK_NotStart,CON-2980,Unassigned,No alias match
TK_Complete,PRO-011933,Unassigned,No alias match
TK_Complete,PRO-011930,Unassigned,No alias match
TK_NotStart,PRO-019310,Unassigned,No alias match
TK_Complete,PRO-019311,Unassigned,No alias match
TK_Complete,CON-1750,Unassigned,No alias match
TK_Complete,CON-2470,Unassigned,No alias match
TK_Active,PRO-012620,Unassigned,No alias match
TK_Complete,GG4249,Unassigned,No alias match
TK_Complete,GG4273,Unassigned,No alias match
TK_NotStart,GG4297,Unassigned,No alias match
TK_Complete,GG4321,Unassigned,No alias match
TK_Complete,GG4345,Unassigned,No alias match
TK_NotStart,GG4369,Unassigned,No alias match
TK_NotStart,GG4393,Unassigned,No alias match
TK_NotStart,GG4417,Unassigned,No alias match
TK_Complete,GG4465,Unassigned,No alias match
TK_Complete,GG4489,Unassigned,No alias match
TK_Complete,GG4513,Unassigned,No alias match
TK_NotStart,GG4537,Unassigned,No alias match
TK_NotStart,GG4561,Unassigned,No alias match
TK_NotStart,GG4585,Unassigned,No alias match
TK_NotStart,GG4609,Unassigned,No alias match
TK_NotStart,GG4633,Unassigned,No alias match
TK_NotStart,GG4657,Unassigned,No alias match
TK_NotStart,GG4681,Unassigned,No alias match
TK_NotStart,GG4753,Unassigned,No alias match
TK_NotStart,GG4849,Unassigned,No alias match
TK_NotStart,GG4873,Unassigned,No alias match
TK_NotStart,GG5041,Unassigned,No alias match
TK_NotStart,GG5065,Unassigned,No alias match
TK_NotStart,GG5089,Unassigned,No alias match
TK_NotStart,GG5137,Unassigned,No alias match
TK_NotStart,GG5161,Unassigned,No alias match
TK_NotStart,GG5185,Unassigned,No alias match
TK_NotStart,GG5209,Unassigned,No alias match
TK_NotStart,GG5233,Unassigned,No alias match
TK_NotStart,GG5257,Unassigned,No alias match
TK_NotStart,GG5281,Unassigned,No alias match
TK_NotStart,GG5401,Unassigned,No alias match
TK_NotStart,GG5425,Unassigned,No alias match
TK_NotStart,GG5449,Unassigned,No alias match
TK_NotStart,GG5473,Unassigned,No alias match
TK_NotStart,GG5497,Unassigned,No alias match
TK_NotStart,GG5521,Unassigned,No alias match
TK_NotStart,GG5569,Unassigned,No alias match
TK_NotStart,GG5593,Unassigned,No alias match
TK_NotStart,GG5617,Unassigned,No alias match
TK_NotStart,GG5641,Unassigned,No alias match
TK_NotStart,GG5665,Unassigned,No alias match
TK_NotStart,GG5713,Unassigned,No alias match
TK_NotStart,GG5737,Unassigned,No alias match
TK_NotStart,GG5761,Unassigned,No alias match
TK_NotStart,CON-2555,Unassigned,No alias match
TK_NotStart,CON-3180,Unassigned,No alias match
TK_Active,PRO-012570,Unassigned,No alias match
TK_NotStart,GG3705,Unassigned,No alias match
TK_NotStart,GG3605,Unassigned,No alias match
TK_NotStart,GG2805,Unassigned,No alias match
TK_NotStart,GG1201,Unassigned,No alias match
TK_Complete,GG0165,Unassigned,No alias match
TK_Complete,PRO-020170,Unassigned,No alias match
TK_NotStart,GG0270,Unassigned,No alias match
TK_Complete,PRO-020550,Unassigned,No alias match
TK_Complete,PRO-020190,Unassigned,No alias match
TK_NotStart,GG0250,Unassigned,No alias match
TK_Complete,PRO-020530,Unassigned,No alias match
TK_NotStart,GG0141,Unassigned,No alias match
TK_Complete,GG0163,Unassigned,No alias match
TK_Complete,CON-2155,Unassigned,No alias match
TK_Complete,CON-1955,Unassigned,No alias match
TK_NotStart,CON-3785,Unassigned,No alias match
TK_Active,PRO-022620,Unassigned,No alias match
TK_Complete,GG4251,Unassigned,No alias match
TK_Complete,GG4275,Unassigned,No alias match
TK_Complete,GG4323,Unassigned,No alias match
TK_NotStart,GG4347,Unassigned,No alias match
TK_NotStart,GG4371,Unassigned,No alias match
TK_NotStart,GG4419,Unassigned,No alias match
TK_NotStart,GG4659,Unassigned,No alias match
TK_NotStart,GG4683,Unassigned,No alias match
TK_NotStart,GG4851,Unassigned,No alias match
TK_NotStart,GG4875,Unassigned,No alias match
TK_NotStart,GG5043,Unassigned,No alias match
TK_NotStart,GG5067,Unassigned,No alias match
TK_NotStart,GG5091,Unassigned,No alias match
TK_NotStart,GG5115,Unassigned,No alias match
TK_NotStart,GG5187,Unassigned,No alias match
TK_NotStart,GG5211,Unassigned,No alias match
TK_NotStart,GG5235,Unassigned,No alias match
TK_NotStart,GG5259,Unassigned,No alias match
TK_NotStart,GG5283,Unassigned,No alias match
TK_NotStart,GG5451,Unassigned,No alias match
TK_NotStart,GG5475,Unassigned,No alias match
TK_NotStart,GG5571,Unassigned,No alias match
TK_NotStart,GG5595,Unassigned,No alias match
TK_NotStart,GG5619,Unassigned,No alias match
TK_NotStart,GG5643,Unassigned,No alias match
TK_NotStart,GG5667,Unassigned,No alias match
TK_NotStart,GG5763,Unassigned,No alias match
TK_Complete,PCN-1040,Unassigned,No alias match
TK_NotStart,CON-1965,Unassigned,No alias match
TK_Complete,PRO-014617,Unassigned,No alias match
TK_NotStart,PCN-1255,Unassigned,No alias match
TK_NotStart,PCN-1205,Unassigned,No alias match
TK_NotStart,PCN-1215,Unassigned,No alias match
TK_NotStart,PCN-1140,Unassigned,No alias match
TK_NotStart,GG5841,Unassigned,No alias match
TK_NotStart,GG5901,Unassigned,No alias match
TK_NotStart,GG5921,Unassigned,No alias match
TK_NotStart,GG5941,Unassigned,No alias match
TK_NotStart,GG5943,Unassigned,No alias match
TK_NotStart,GG3805,Unassigned,No alias match
TK_NotStart,GG5690,Unassigned,No alias match
TK_NotStart,GG5691,Unassigned,No alias match
TK_NotStart,GG0194,Unassigned,No alias match
TK_Complete,PCN-1005,Unassigned,No alias match
TK_Complete,PRO-014590,Unassigned,No alias match
TK_NotStart,GG4167,Unassigned,No alias match
TK_Complete,PRO-024590,Unassigned,No alias match
TK_Complete,PRO-010535,Unassigned,No alias match
TK_Complete,PRO-010555,Unassigned,No alias match
TK_Complete,PRO-020535,Unassigned,No alias match
TK_Complete,PRO-020555,Unassigned,No alias match
TK_NotStart,GG5950,Unassigned,No alias match
TK_NotStart,GG5951,Unassigned,No alias match
TK_NotStart,PRO-013534,Unassigned,No alias match
TK_NotStart,PRO-023534,Unassigned,No alias match
TK_NotStart,GG5952,Unassigned,No alias match
TK_NotStart,GG6322,Unassigned,No alias match
TK_NotStart,GG6312,Unassigned,No alias match
TK_Complete,MIL-1050,Unassigned,No alias match
TK_Complete,MIL-1040,Unassigned,No alias match
TK_NotStart,MIL-1055,Unassigned,No alias match
TK_NotStart,MIL-1060,Unassigned,No alias match
TK_Complete,MIL-1045,Unassigned,No alias match
TK_NotStart,MIL-1085,Unassigned,No alias match
TK_NotStart,MIL-1075,Unassigned,No alias match
TK_NotStart,MIL-1080,Unassigned,No alias match
TK_NotStart,MIL-1095,Unassigned,No alias match
TK_Active,PRO-012685,Unassigned,No alias match
TK_Complete,PRO-010546,Unassigned,No alias match
TK_NotStart,CON-2325,Unassigned,No alias match
TK_NotStart,CON-1570,Unassigned,No alias match
TK_Complete,PRO-010576,Unassigned,No alias match
TK_Active,PRO-010671,Unassigned,No alias match
TK_Complete,PRO-010670,Unassigned,No alias match
TK_NotStart,PRO-010673,Unassigned,No alias match
TK_NotStart,PRO-010672,Unassigned,No alias match
TK_Active,PRO-012531,Unassigned,No alias match
TK_Complete,PRO-012530,Unassigned,No alias match
TK_Active,PRO-020671,Unassigned,No alias match
TK_Complete,PRO-020670,Unassigned,No alias match
TK_NotStart,PRO-020673,Unassigned,No alias match
TK_NotStart,PRO-020672,Unassigned,No alias match
TK_NotStart,PRO-022531,Unassigned,No alias match
TK_NotStart,PRO-022530,Unassigned,No alias match
TK_Complete,PRO-012529,Unassigned,No alias match
TK_NotStart,PRO-022529,Unassigned,No alias match
TK_NotStart,PRO-024031,Unassigned,No alias match
