"Activity ID","Name","Start","Finish","Duration","Trade/Area","Predicted Location","Predicted Trade Name"
"GG2800","DCH1-Ready for Fitout","2025-11-07","2025-11-07","0","UNO3A > 01 > 05 > 05 > 06","DCH1",""
"CON-2980","DCH1-FRP Slab on Grade Pour 4","2025-11-07","2025-11-07","56","UNO3A > 05 > 04 > 05 > 03","DCH1","Concrete Pour"
"GG4297","MCP Foundations Start","2025-11-07","2025-11-07","0","UNO3A > 01 > 05 > 03","MYD1 MCP","Structural Piles"
"GG4657","EYD1-Set Critical Generators Start","2025-11-07","2025-11-07","0","UNO3A > 01 > 05 > 05 > 01","EYD1 Gen Yard","Generator Placement"
"GG4755","MYD1-CUB Erection/MCP Installation Start","2025-11-07","2025-11-07","0","UNO3A > 01 > 05 > 05 > 01","MYD1 MCP","Structural Steel"
"GG5137","EYD1-Modular E-Room Install Start","2025-11-07","2025-11-07","0","UNO3A > 01 > 05 > 05 > 02","EYD1 Gen Yard",""
"GG2805","DCH2-Ready for Fitout","2025-11-07","2025-11-07","0","UNO3A > 01 > 05 > 06 > 01","DCH2",""
"CON-3785","DCH2-FRP SOG #15","2025-11-07","2025-11-07","32","UNO3A > 05 > 04 > 05 > 04","DCH2",""
"GG6312","FSA/DCH1-Shell Ready Scope Complete","2025-11-07","2025-11-07","0","UNO3A > 01 > 05 > 03","DCH1",""
"MIL-1045","Place Generators Foundations & Pads Complete","2025-11-07","2025-11-07","0","UNO3A > 01 > 01 > 02","EYD1 Gen Yard","Generator Placement"
"PRO-010671","Lead Time-Critical Gens","2025-11-07","2025-11-07","1232","UNO3A > 04 > 03 > 01","EYD1 Gen Yard","Generator Placement"
"PRO-010670","Place PO for Critical Gens","2025-11-07","2025-11-07","128","UNO3A > 04 > 03","EYD1 Gen Yard","Generator Placement"
"PRO-010673","Critical Gen-Installation Start","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01","EYD1 Gen Yard","Generator Placement"
"PRO-010672","Deliver Critical Gen 1-4","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01","EYD1 Gen Yard","Generator Placement"
"PRO-020671","Lead Time-Critical Gens-Zone2","2025-11-07","2025-11-07","1480","UNO3A > 04 > 03 > 01","Zone 2 Conveyance","Generator Placement"
"PRO-020670","Place PO for Critical Gens","2025-11-07","2025-11-07","160","UNO3A > 04 > 03","EYD2 Gen Yard","Generator Placement"
"PRO-019355","EYD1-Deliver-MDA RMU/USSs-A&B","2025-11-07","2025-11-07","352","UNO3A > 04 > 03 > 01","EYD1 Gen Yard",""
"PRO-019314","Deliver-EYD1 SSS-A E-House","2025-11-07","2025-11-07","168","UNO3A > 04 > 03 > 01 > 01 > 02","EYD1 Gen Yard",""
"PRO-019358","EYD1-Deliver-Critical RMU/USSs-01-05","2025-11-07","2025-11-07","136","UNO3A > 04 > 03 > 01 > 01 > 03","EYD1 Gen Yard",""
"PRO-019315","Deliver- EYD1 SSS-B E-House","2025-11-07","2025-11-07","168","UNO3A > 04 > 03 > 01 > 01 > 02","EYD1 Gen Yard",""
"PRO-010921","Deliver-EYD1 GPS E-House (includes GPSC)","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 01 > 01","EYD1 Gen Yard",""
"PRO-019350","Place PO for MYD2  Zilla XFMR","2025-11-07","2025-11-07","160","UNO3A > 04 > 03","MYD2 MCP",""
"PRO-010931","MYD2-Lead Time-Zilla XFMR","2025-11-07","2025-11-07","1368","UNO3A > 04 > 03 > 01","MYD2 MCP",""
"PRO-019319","MDA USSs-Installation Start","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 01 > 04","EYD1 USS Yard",""
"PRO-010922","GPS EYD1 E-House-Installation Start","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 01 > 01 > 01","EYD1 Gen Yard",""
"PCN-1170","Offsite Pre-Fabrication Labor (S10)-Zilla Conveyance","2025-11-07","2025-11-07","32","UNO3A > 04 > 03 > 03 > 04","EYD1 USS Yard","Conveyance"
"PCN-1175","Offsite Pre-Fabrication Labor (S17)-SSS/GPS/USS","2025-11-07","2025-11-07","112","UNO3A > 04 > 03 > 03 > 04","EYD1 USS Yard",""
"PCN-1220","Offsite Pre-Fabrication Labor (S18)-USS Secondary Conveyance","2025-11-07","2025-11-07","120","UNO3A > 04 > 03 > 03 > 04","EYD1 USS Yard","Conveyance"
"PCN-1185","Offsite Pre-Fabrication Labor (S33)-MDA USS","2025-11-07","2025-11-07","8","UNO3A > 04 > 03 > 03 > 04","EYD1 USS Yard",""
"PRO-014440","MYD1- Lead MCP-01","2025-11-07","2025-11-07","160","UNO3A > 04 > 03","MYD1 MCP",""
"PRO-021941","Lead Time EYD1 SSS A/B E-Houses","2025-11-07","2025-11-07","2536","UNO3A > 04 > 03 > 01","EYD1 Gen Yard",""
"PRO-021950","Place PO for Critical USSs","2025-11-07","2025-11-07","160","UNO3A > 04 > 03","EYD1 USS Yard",""
"PRO-020919","Place PO for EYD2 GPS E-House","2025-11-07","2025-11-07","160","UNO3A > 04 > 03","EYD2 Gen Yard",""
"PRO-021951","Lead Time-Critical USSs","2025-11-07","2025-11-07","2432","UNO3A > 04 > 03 > 01","EYD1 USS Yard",""
"PRO-024654","GC Procure-S14 Supply Gens to SSS Cable Tray/Supports","2025-11-07","2025-11-07","0","UNO3A > 04 > 03 > 03 > 08","EYD1 Gen Yard","Generator Placement"
"PRO-021810","GC Procure-S18 Supply USS to SH Cable Tray/Supports","2025-11-07","2025-11-07","288","UNO3A > 04 > 03 > 03 > 08","EYD1 USS Yard","Electrical Yard Equipment Conduit"
"PRO-029350","Place PO for MYD1 Zilla XFMR","2025-11-07","2025-11-07","160","UNO3A > 04 > 03","MYD1 MCP",""
"PRO-020931","MYD1-Lead Time--Zilla XFMR","2025-11-07","2025-11-07","2520","UNO3A > 04 > 03 > 01","MYD1 MCP",""
