ID,Location_Name,Actualised_Activity_Name,Scheduled Start Date,Scheduled End Date,Detected Start Date,Detected End Date
68e5a7888b4e895a13b81e69,HA 00,Drill & Epoxy Anchor Bolts,,,,2025/07/19
68e5a7888b4e895a13b81e69,HA 00,Install ASPs,,,,2025/08/06
68e5a7888b4e895a13b81e69,HA 00,Install PNMs,,,,2025/08/27
68e5a7888b4e895a13b81e69,HA 00,Set Legs,,,,2025/07/19
68e5a7888b4e895a13b81e69,HA 00,Set Cooling Modules,,,2025/07/26,2025/08/27
68e5a7299c4860d2c8aae916,HA 01,Drill & Epoxy Anchor Bolts,,,,2025/07/19
68e5a7299c4860d2c8aae916,HA 01,Install ASPs,,,,2025/08/06
68e5a7299c4860d2c8aae916,HA 01,Set Legs,,,,2025/07/19
68e5a7299c4860d2c8aae916,HA 01,Set Cooling Modules,,,2025/07/26,2025/08/21
68e5a7299c4860d2c8aae916,HA 01,Install PNMs,,,2025/08/14,2025/08/27
68d45ac6a1ed90f02973ffd9,HA 02-03,Drill & Epoxy Anchor Bolts,,,,2025/07/26
68d45ac6a1ed90f02973ffd9,HA 02-03,Set Cooling Modules,,,,2025/08/06
68d45ac6a1ed90f02973ffd9,HA 02-03,Set Legs,,,,2025/07/26
68d45ac6a1ed90f02973ffd9,HA 02-03,Install ASPs,,,2025/08/06,2025/08/14
68d45ac6a1ed90f02973ffd9,HA 02-03,Install PNMs,,,2025/08/21,2025/08/27
68d45b0130d3e74df6e0a964,HA 04-05,Drill & Epoxy Anchor Bolts,,,,2025/07/26
68d45b0130d3e74df6e0a964,HA 04-05,Install ASPs,,,,2025/08/21
68d45b0130d3e74df6e0a964,HA 04-05,Set Cooling Modules,,,,2025/08/06
68d45b0130d3e74df6e0a964,HA 04-05,Set Legs,,,,2025/07/26
68d45b0130d3e74df6e0a964,HA 04-05,Install PNMs,,,2025/08/21,2025/08/27
68d45b0130d3e74df6e0a965,HA 06-07,Drill & Epoxy Anchor Bolts,,,,2025/07/26
68d45b0130d3e74df6e0a965,HA 06-07,Install ASPs,,,,2025/08/14
68d45b0130d3e74df6e0a965,HA 06-07,Set Cooling Modules,,,,2025/08/06
68d45b0130d3e74df6e0a965,HA 06-07,Set Legs,,,,2025/07/26
68d45b0130d3e74df6e0a965,HA 06-07,Install PNMs,,,2025/08/21,2025/08/27
68d45b93d1bd3b14dd985a6b,HA 08-09,Drill & Epoxy Anchor Bolts,,,,2025/08/06
68d45b93d1bd3b14dd985a6b,HA 08-09,Install ASPs,,,,2025/08/21
68d45b93d1bd3b14dd985a6b,HA 08-09,Set Legs,,,,2025/08/06
68d45b93d1bd3b14dd985a6b,HA 08-09,Set Cooling Modules,,,2025/08/06,2025/08/14
68d45b93d1bd3b14dd985a6b,HA 08-09,Install PNMs,,,2025/09/03,2025/08/27
68d45b0130d3e74df6e0a967,HA 10-11,Drill & Epoxy Anchor Bolts,,,,2025/08/09
68d45b0130d3e74df6e0a967,HA 10-11,Install ASPs,,,,2025/08/21
68d45b0130d3e74df6e0a967,HA 10-11,Set Cooling Modules,,,,2025/08/09
68d45b0130d3e74df6e0a967,HA 10-11,Set Legs,,,,2025/08/09
68d45b0130d3e74df6e0a967,HA 10-11,Install PNMs,,,2025/09/03,2025/08/27
68d45b93d1bd3b14dd985a6d,HA 14-15,Drill & Epoxy Anchor Bolts,,,,2025/08/09
68d45b93d1bd3b14dd985a6d,HA 14-15,Install ASPs,,,,2025/08/27
68d45b93d1bd3b14dd985a6d,HA 14-15,Set Cooling Modules,,,,2025/08/14
68d45b93d1bd3b14dd985a6d,HA 14-15,Set Legs,,,,2025/08/09
68d45b93d1bd3b14dd985a6d,HA 14-15,Install PNMs,,,2025/09/06,2025/09/13
68d45b02e4a5a3545a337b1d,HA 16-17,Drill & Epoxy Anchor Bolts,,,,2025/08/14
68d45b02e4a5a3545a337b1d,HA 16-17,Install ASPs,,,,2025/08/27
68d45b02e4a5a3545a337b1d,HA 16-17,Install PNMs,,,,2025/09/13
68d45b02e4a5a3545a337b1d,HA 16-17,Set Cooling Modules,,,,2025/08/21
68d45b02e4a5a3545a337b1d,HA 16-17,Set Legs,,,,2025/08/14
68d45b045b37233c85f53bbd,HA 18-19,Drill & Epoxy Anchor Bolts,,,,2025/08/21
68d45b045b37233c85f53bbd,HA 18-19,Install ASPs,,,,2025/09/13
68d45b045b37233c85f53bbd,HA 18-19,Install PNMs,,,,2025/09/13
68d45b045b37233c85f53bbd,HA 18-19,Set Cooling Modules,,,,2025/08/21
68d45b045b37233c85f53bbd,HA 18-19,Set Legs,,,,2025/08/21
68d45b057243050d2e5482e6,HA 20-21,Drill & Epoxy Anchor Bolts,,,,2025/08/21
68d45b057243050d2e5482e6,HA 20-21,Install ASPs,,,,2025/09/13
68d45b057243050d2e5482e6,HA 20-21,Set Cooling Modules,,,,2025/09/03
68d45b057243050d2e5482e6,HA 20-21,Set Legs,,,,2025/08/21
68d45b057243050d2e5482e6,HA 20-21,Install PNMs,,,2025/09/13,2025/09/20
68d45b5d175781cac599bd6a,HA 22-23,Drill & Epoxy Anchor Bolts,,,,2025/08/21
68d45b5d175781cac599bd6a,HA 22-23,Set Cooling Modules,,,,2025/09/03
68d45b5d175781cac599bd6a,HA 22-23,Set Legs,,,,2025/08/21
68d45b5d175781cac599bd6a,HA 22-23,Install ASPs,,,2025/09/20,2025/09/25
68d45b5d175781cac599bd6a,HA 22-23,Install PNMs,,,2025/09/20,2025/09/25
68d45b9207049ab4da0ff203,HA 24-25,Drill & Epoxy Anchor Bolts,,,,2025/08/21
68d45b9207049ab4da0ff203,HA 24-25,Install ASPs,,,,2025/09/20
68d45b9207049ab4da0ff203,HA 24-25,Install PNMs,,,,2025/09/20
68d45b9207049ab4da0ff203,HA 24-25,Set Cooling Modules,,,,2025/09/03
68d45b9207049ab4da0ff203,HA 24-25,Set Legs,,,,2025/08/21
68d45b930686e8dec81686d3,HA 26-27,Drill & Epoxy Anchor Bolts,,,,2025/09/20
68d45b930686e8dec81686d3,HA 26-27,Install ASPs,,,,2025/09/25
68d45b930686e8dec81686d3,HA 26-27,Set Cooling Modules,,,,2025/09/25
68d45b930686e8dec81686d3,HA 26-27,Set Legs,,,,2025/09/20
68d45b930686e8dec81686d3,HA 26-27,Install PNMs,,,2025/09/25,2025/10/08
68d45b93d1bd3b14dd985a68,HA 28-29,Drill & Epoxy Anchor Bolts,,,,2025/09/20
68d45b93d1bd3b14dd985a68,HA 28-29,Install ASPs,,,,2025/09/25
68d45b93d1bd3b14dd985a68,HA 28-29,Set Cooling Modules,,,,2025/10/02
68d45b93d1bd3b14dd985a68,HA 28-29,Set Legs,,,,2025/09/20
68d45b93d1bd3b14dd985a68,HA 28-29,Install PNMs,,,2025/09/25,2025/10/02
68d45b02e4a5a3545a337b1e,HA 30-31,Drill & Epoxy Anchor Bolts,,,,2025/09/20
68d45b02e4a5a3545a337b1e,HA 30-31,Install ASPs,,,,2025/09/25
68d45b02e4a5a3545a337b1e,HA 30-31,Install PNMs,,,,2025/10/02
68d45b02e4a5a3545a337b1e,HA 30-31,Set Cooling Modules,,,,2025/10/02
68d45b02e4a5a3545a337b1e,HA 30-31,Set Legs,,,,2025/09/20
68d45b045b37233c85f53bbe,HA 32-33,Drill & Epoxy Anchor Bolts,,,,2025/09/20
68d45b045b37233c85f53bbe,HA 32-33,Install ASPs,,,,2025/09/25
68d45b045b37233c85f53bbe,HA 32-33,Install PNMs,,,,2025/09/20
68d45b045b37233c85f53bbe,HA 32-33,Set Cooling Modules,,,,2025/09/20
68d45b045b37233c85f53bbe,HA 32-33,Set Legs,,,,2025/09/20
68d45b057243050d2e5482e7,HA 34-35,Drill & Epoxy Anchor Bolts,,,,2025/09/20
68d45b057243050d2e5482e7,HA 34-35,Install ASPs,,,,2025/09/20
68d45b057243050d2e5482e7,HA 34-35,Install PNMs,,,,2025/10/08
68d45b057243050d2e5482e7,HA 34-35,Set Cooling Modules,,,,2025/09/20
68d45b057243050d2e5482e7,HA 34-35,Set Legs,,,,2025/09/20
68d45b05b5943cef19c2f0ba,HA 36-37,Drill & Epoxy Anchor Bolts,,,,2025/09/20
68d45b05b5943cef19c2f0ba,HA 36-37,Install ASPs,,,,2025/09/25
68d45b05b5943cef19c2f0ba,HA 36-37,Install PNMs,,,,2025/10/13
68d45b05b5943cef19c2f0ba,HA 36-37,Set Cooling Modules,,,,2025/10/02
68d45b05b5943cef19c2f0ba,HA 36-37,Set Legs,,,,2025/09/20
68d45b5d175781cac599bd6b,HA 38,Drill & Epoxy Anchor Bolts,,,,2025/09/20
68d45b5d175781cac599bd6b,HA 38,Install ASPs,,,,2025/10/02
68d45b5d175781cac599bd6b,HA 38,Install PNMs,,,,2025/10/02
68d45b5d175781cac599bd6b,HA 38,Set Cooling Modules,,,,2025/10/02
68d45b5d175781cac599bd6b,HA 38,Set Legs,,,,2025/09/20
68e024ba445912350976144e,HA 74-75,Set Legs,,,,2025/11/08
68d45b930686e8dec81686d6,RACK 12-13,Drill & Epoxy Anchor Bolts,,,,2025/08/06
68d45b930686e8dec81686d6,RACK 12-13,Install ASPs,,,,2025/08/06
68d45b930686e8dec81686d6,RACK 12-13,Set Cooling Modules,,,,2025/08/06
68d45b930686e8dec81686d6,RACK 12-13,Set Legs,,,,2025/08/06
68d45b930686e8dec81686d6,RACK 12-13,Install PNMs,,,2025/08/06,2025/08/27
