location,section,level / floor,trade,state,start_date,complete_date,capture_date
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,in progress,,,2025/04/11
ADMIN ASSISTANT 125,C,1,Wall Drywall,in progress,,,2025/04/11
ADMIN ASSISTANT 125,C,1,In Wall Insulation,in progress,,,2025/04/11
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,in progress,,2025/07/25,2025/04/11
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,in progress,,,2025/04/11
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/04/11
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,not started,,,2025/04/11
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,no capture,,,2025/04/25
ADMIN ASSISTANT 125,C,1,Wall Drywall,no capture,,,2025/04/25
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/04/25
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,no capture,,2025/07/25,2025/04/25
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/04/25
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/04/25
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,no capture,,,2025/04/25
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,no capture,,,2025/05/06
ADMIN ASSISTANT 125,C,1,Wall Drywall,no capture,,,2025/05/06
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/05/06
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,no capture,,2025/07/25,2025/05/06
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/05/06
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,no capture,,,2025/05/06
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,no capture,,,2025/05/06
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,in progress,,,2025/05/07
ADMIN ASSISTANT 125,C,1,Wall Drywall,in progress,,,2025/05/07
ADMIN ASSISTANT 125,C,1,In Wall Insulation,complete,,,2025/05/07
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,in progress,,2025/07/25,2025/05/07
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,in progress,,,2025/05/07
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/05/07
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,in progress,,,2025/05/07
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,no capture,,,2025/05/14
ADMIN ASSISTANT 125,C,1,Wall Drywall,no capture,,,2025/05/14
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/05/14
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,no capture,,2025/07/25,2025/05/14
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/05/14
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,no capture,,,2025/05/14
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,no capture,,,2025/05/14
ADMIN ASSISTANT 125,C,1,In Wall Insulation,complete,,,2025/05/30
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,in progress,,2025/07/25,2025/05/30
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,in progress,,,2025/05/30
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/05/30
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/05/30
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/05/30
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/05/30
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/06/06
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,no capture,,2025/07/25,2025/06/06
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/06/06
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/06/06
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/06/06
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/06/06
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/06/06
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/06/13
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,no capture,,2025/07/25,2025/06/13
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/06/13
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/06/13
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/06/13
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/06/13
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/06/13
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/06/20
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,no capture,,2025/07/25,2025/06/20
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/06/20
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,not started,,,2025/06/20
ADMIN ASSISTANT 125,C,1,Wall Drywall,complete,,,2025/06/20
ADMIN ASSISTANT 125,C,1,Wall Drywall Finish,complete,,,2025/06/20
ADMIN ASSISTANT 125,C,1,Wall Prime Paint,complete,,,2025/06/20
ADMIN ASSISTANT 125,C,1,In Wall Insulation,no capture,,,2025/07/07
ADMIN ASSISTANT 125,C,1,Overhead Duct Insulation,no capture,,2025/07/25,2025/07/07
ADMIN ASSISTANT 125,C,1,Overhead Duct Rough In,no capture,,,2025/07/07
ADMIN ASSISTANT 125,C,1,Overhead Plumbing,no capture,,,2025/07/07
