location,section,level / floor,trade,state,start_date,complete_date,capture_date
Room 123,C,1,Wall Drywall Finish,in progress,,,2025/01/11
Room 123,C,1,Wall Drywall,in progress,,,2025/01/11
Room 123,C,1,In Wall Insulation,in progress,,,2025/01/11
Room 123,C,1,Overhead Duct Insulation,in progress,,2025/04/26,2025/01/11
Room 123,C,1,Overhead Duct Rough In,in progress,,,2025/01/11
Room 123,C,1,Overhead Plumbing,not started,,,2025/01/11
Room 123,C,1,Wall Prime Paint,not started,,,2025/01/11
Room 123,C,1,Wall Drywall Finish,no capture,,,2025/01/25
Room 123,C,1,Wall Drywall,no capture,,,2025/01/25
Room 123,C,1,In Wall Insulation,no capture,,,2025/01/25
Room 123,C,1,Overhead Duct Insulation,no capture,,2025/04/26,2025/01/25
Room 123,C,1,Overhead Duct Rough In,no capture,,,2025/01/25
Room 123,C,1,Overhead Plumbing,not started,,,2025/01/25
Room 123,C,1,Wall Prime Paint,no capture,,,2025/01/25
Room 123,C,1,Wall Drywall Finish,no capture,,,2025/02/05
Room 123,C,1,Wall Drywall,no capture,,,2025/02/05
Room 123,C,1,In Wall Insulation,no capture,,,2025/02/05
Room 123,C,1,Overhead Duct Insulation,no capture,,2025/04/26,2025/02/05
Room 123,C,1,Overhead Duct Rough In,no capture,,,2025/02/05
Room 123,C,1,Overhead Plumbing,no capture,,,2025/02/05
Room 123,C,1,Wall Prime Paint,no capture,,,2025/02/05
Room 123,C,1,Wall Drywall Finish,in progress,,,2025/02/06
Room 123,C,1,Wall Drywall,in progress,,,2025/02/06
Room 123,C,1,In Wall Insulation,complete,,,2025/02/06
Room 123,C,1,Overhead Duct Insulation,in progress,,2025/04/26,2025/02/06
Room 123,C,1,Overhead Duct Rough In,in progress,,,2025/02/06
Room 123,C,1,Overhead Plumbing,not started,,,2025/02/06
Room 123,C,1,Wall Prime Paint,in progress,,,2025/02/06
Room 123,C,1,Wall Drywall Finish,no capture,,,2025/02/13
Room 123,C,1,Wall Drywall,no capture,,,2025/02/13
Room 123,C,1,In Wall Insulation,no capture,,,2025/02/13
Room 123,C,1,Overhead Duct Insulation,no capture,,2025/04/26,2025/02/13
Room 123,C,1,Overhead Duct Rough In,no capture,,,2025/02/13
Room 123,C,1,Overhead Plumbing,no capture,,,2025/02/13
Room 123,C,1,Wall Prime Paint,no capture,,,2025/02/13
Room 123,C,1,In Wall Insulation,complete,,,2025/03/01
Room 123,C,1,Overhead Duct Insulation,in progress,,2025/04/26,2025/03/01
Room 123,C,1,Overhead Duct Rough In,in progress,,,2025/03/01
Room 123,C,1,Overhead Plumbing,not started,,,2025/03/01
Room 123,C,1,Wall Drywall,complete,,,2025/03/01
Room 123,C,1,Wall Drywall Finish,complete,,,2025/03/01
Room 123,C,1,Wall Prime Paint,complete,,,2025/03/01
Room 123,C,1,In Wall Insulation,no capture,,,2025/03/08
Room 123,C,1,Overhead Duct Insulation,no capture,,2025/04/26,2025/03/08
Room 123,C,1,Overhead Duct Rough In,no capture,,,2025/03/08
Room 123,C,1,Overhead Plumbing,not started,,,2025/03/08
Room 123,C,1,Wall Drywall,complete,,,2025/03/08
Room 123,C,1,Wall Drywall Finish,complete,,,2025/03/08
Room 123,C,1,Wall Prime Paint,complete,,,2025/03/08
Room 123,C,1,In Wall Insulation,no capture,,,2025/03/15
Room 123,C,1,Overhead Duct Insulation,no capture,,2025/04/26,2025/03/15
Room 123,C,1,Overhead Duct Rough In,no capture,,,2025/03/15
Room 123,C,1,Overhead Plumbing,not started,,,2025/03/15
Room 123,C,1,Wall Drywall,complete,,,2025/03/15
Room 123,C,1,Wall Drywall Finish,complete,,,2025/03/15
Room 123,C,1,Wall Prime Paint,complete,,,2025/03/15
Room 123,C,1,In Wall Insulation,no capture,,,2025/03/22
Room 123,C,1,Overhead Duct Insulation,no capture,,2025/04/26,2025/03/22
Room 123,C,1,Overhead Duct Rough In,no capture,,,2025/03/22
Room 123,C,1,Overhead Plumbing,not started,,,2025/03/22
Room 123,C,1,Wall Drywall,complete,,,2025/03/22
Room 123,C,1,Wall Drywall Finish,complete,,,2025/03/22
Room 123,C,1,Wall Prime Paint,complete,,,2025/03/22
Room 123,C,1,In Wall Insulation,no capture,,,2025/04/08
Room 123,C,1,Overhead Duct Insulation,no capture,,2025/04/26,2025/04/08
Room 123,C,1,Overhead Duct Rough In,no capture,,,2025/04/08
Room 123,C,1,Overhead Plumbing,no capture,,,2025/04/08
Room 123,C,1,Wall Drywall,complete,,,2025/04/08
Room 123,C,1,Wall Drywall Finish,complete,,,2025/04/08
Room 123,C,1,Wall Prime Paint,complete,,,2025/04/08
Room 123,C,1,In Wall Insulation,no capture,,,2025/04/18
Room 123,C,1,Overhead Duct Insulation,in progress,,2025/04/26,2025/04/18
Room 123,C,1,Overhead Duct Rough In,no capture,,,2025/04/18
Room 123,C,1,Overhead Plumbing,not started,,,2025/04/18
Room 123,C,1,Wall Drywall,complete,,,2025/04/18
Room 123,C,1,Wall Drywall Finish,complete,,,2025/04/18
Room 123,C,1,Wall Prime Paint,complete,,,2025/04/18
Room 123,C,1,In Wall Insulation,no capture,,,2025/04/26
